match_id,inning,batting_team,bowling_team,over,season,who_is_batting_first,total_runs,is_wicket,run_rate,target_runs,target_left,req_runrate,curr_run_rate,weighted_run_rate,season_year
335986,2,5,13,14,2007/08,Sunrisers Hyderabad,9,0,5.5,111,34,4.857142857142857,9,8.31,2007
335986,2,5,13,15,2007/08,Sunrisers Hyderabad,4,0,5.4,111,30,5.0,4,5.29,2007
335986,2,5,13,16,2007/08,Sunrisers Hyderabad,6,0,5.4375,111,24,4.8,6,5.79,2007
335986,2,5,13,17,2007/08,Sunrisers Hyderabad,3,1,5.294117647058823,111,21,5.25,3,3.84,2007
335986,2,5,13,18,2007/08,Sunrisers Hyderabad,13,0,5.722222222222222,111,8,2.6666666666666665,13,10.25,2007
335986,2,5,13,19,2007/08,Sunrisers Hyderabad,9,0,5.894736842105263,111,0,0.0,9,9.38,2007
335987,1,9,10,1,2007/08,Punjab Kings,1,0,1.0,0,0,0.0,1,1.0,2007
335987,1,9,10,2,2007/08,Punjab Kings,5,0,3.0,0,0,0.0,5,3.8,2007
335987,1,9,10,3,2007/08,Punjab Kings,10,0,5.333333333333333,0,0,0.0,10,8.14,2007
335987,1,9,10,4,2007/08,Punjab Kings,8,0,6.0,0,0,0.0,8,8.04,2007
335987,1,9,10,5,2007/08,Punjab Kings,14,1,7.6,0,0,0.0,14,12.21,2007
335987,1,9,10,6,2007/08,Punjab Kings,16,0,9.0,0,0,0.0,16,14.86,2007
335987,1,9,10,7,2007/08,Punjab Kings,5,1,8.428571428571429,0,0,0.0,5,7.96,2007
335987,1,9,10,8,2007/08,Punjab Kings,11,1,8.75,0,0,0.0,11,10.09,2007
335987,1,9,10,9,2007/08,Punjab Kings,3,1,8.11111111111111,0,0,0.0,3,5.13,2007
335987,1,9,10,10,2007/08,Punjab Kings,9,0,8.2,0,0,0.0,9,7.84,2007
335987,1,9,10,11,2007/08,Punjab Kings,3,0,7.727272727272727,0,0,0.0,3,4.45,2007
335987,1,9,10,12,2007/08,Punjab Kings,12,0,8.083333333333334,0,0,0.0,12,9.74,2007
335987,1,9,10,13,2007/08,Punjab Kings,4,0,7.769230769230769,0,0,0.0,4,5.72,2007
