match_id,inning,batting_team,bowling_team,over,season,who_is_batting_first,total_runs,is_wicket
335985,1,Mumbai Indians,Royal Challengers Bengaluru,2,2007/08,Mumbai Indians,6,0
335985,1,Mumbai Indians,Royal Challengers Bengaluru,3,2007/08,Mumbai Indians,3,1
335985,1,Mumbai Indians,Royal Challengers Bengaluru,4,2007/08,Mumbai Indians,19,0
335985,1,Mumbai Indians,Royal Challengers Bengaluru,5,2007/08,Mumbai Indians,6,1
335985,1,Mumbai Indians,Royal Challengers Bengaluru,6,2007/08,Mumbai Indians,7,0
335985,1,Mumbai Indians,Royal Challengers Bengaluru,7,2007/08,Mumbai Indians,6,0
335985,1,Mumbai Indians,Royal Challengers Bengaluru,8,2007/08,Mumbai Indians,12,0
335985,1,Mumbai Indians,Royal Challengers Bengaluru,9,2007/08,Mumbai Indians,2,0
335985,1,Mumbai Indians,Royal Challengers Bengaluru,10,2007/08,Mumbai Indians,7,0
335985,1,Mumbai Indians,Royal Challengers Bengaluru,11,2007/08,Mumbai Indians,13,0
335985,1,Mumbai Indians,Royal Challengers Bengaluru,12,2007/08,Mumbai Indians,3,0
335985,1,Mumbai Indians,Royal Challengers Bengaluru,13,2007/08,Mumbai Indians,2,1
335985,1,Mumbai Indians,Royal Challengers Bengaluru,14,2007/08,Mumbai Indians,6,0
335985,1,Mumbai Indians,Royal Challengers Bengaluru,15,2007/08,Mumbai Indians,13,0
335985,1,Mumbai Indians,Royal Challengers Bengaluru,16,2007/08,Mumbai Indians,11,1
335985,1,Mumbai Indians,Royal Challengers Bengaluru,17,2007/08,Mumbai Indians,20,0
335985,1,Mumbai Indians,Royal Challengers Bengaluru,18,2007/08,Mumbai Indians,9,1
335985,1,Mumbai Indians,Royal Challengers Bengaluru,19,2007/08,Mumbai Indians,7,1
335985,2,Royal Challengers Bengaluru,Mumbai Indians,0,2007/08,Mumbai Indians,10,0
335985,2,Royal Challengers Bengaluru,Mumbai Indians,1,2007/08,Mumbai Indians,1,0
335985,2,Royal Challengers Bengaluru,Mumbai Indians,2,2007/08,Mumbai Indians,11,0
335985,2,Royal Challengers Bengaluru,Mumbai Indians,3,2007/08,Mumbai Indians,5,0
335985,2,Royal Challengers Bengaluru,Mumbai Indians,4,2007/08,Mumbai Indians,10,1
335985,2,Royal Challengers Bengaluru,Mumbai Indians,5,2007/08,Mumbai Indians,3,0
335985,2,Royal Challengers Bengaluru,Mumbai Indians,6,2007/08,Mumbai Indians,6,0
335985,2,Royal Challengers Bengaluru,Mumbai Indians,7,2007/08,Mumbai Indians,8,0
335985,2,Royal Challengers Bengaluru,Mumbai Indians,8,2007/08,Mumbai Indians,15,1
335985,2,Royal Challengers Bengaluru,Mumbai Indians,9,2007/08,Mumbai Indians,7,1
335985,2,Royal Challengers Bengaluru,Mumbai Indians,10,2007/08,Mumbai Indians,4,0
335985,2,Royal Challengers Bengaluru,Mumbai Indians,11,2007/08,Mumbai Indians,14,0
335985,2,Royal Challengers Bengaluru,Mumbai Indians,12,2007/08,Mumbai Indians,10,0
335985,2,Royal Challengers Bengaluru,Mumbai Indians,13,2007/08,Mumbai Indians,5,1
335985,2,Royal Challengers Bengaluru,Mumbai Indians,14,2007/08,Mumbai Indians,9,0
335985,2,Royal Challengers Bengaluru,Mumbai Indians,15,2007/08,Mumbai Indians,8,0
335985,2,Royal Challengers Bengaluru,Mumbai Indians,16,2007/08,Mumbai Indians,10,0
335985,2,Royal Challengers Bengaluru,Mumbai Indians,17,2007/08,Mumbai Indians,19,0
335985,2,Royal Challengers Bengaluru,Mumbai Indians,18,2007/08,Mumbai Indians,8,1
335985,2,Royal Challengers Bengaluru,Mumbai Indians,19,2007/08,Mumbai Indians,3,0
335986,1,Sunrisers Hyderabad,Kolkata Knight Riders,0,2007/08,Sunrisers Hyderabad,9,0
335986,1,Sunrisers Hyderabad,Kolkata Knight Riders,1,2007/08,Sunrisers Hyderabad,5,0
335986,1,Sunrisers Hyderabad,Kolkata Knight Riders,2,2007/08,Sunrisers Hyderabad,7,0
